pair,i,j,label,status,ordered_codes,ordered_labels,is_diagonal,is_conflict,is_reverse_missing,min_digit,max_digit,sum,diff,product,sum_mod_3,sum_mod_5,product_mod_5,parity_pair,is_border,is_corner,is_high_block,has_6,has_9,has_0,has_1,seven_segment_distance,numpad_distance,clock_distance,eye_pair_features,ordered_surface_features,frequency_features,zero_omission_features,copy_provenance_features,literal_provenance_features,first_use_features,topology_features,external_anchor_overlap_features
00,0,0,*,pure,00,*,True,False,False,0,0,0,0,0,0,0,0,00,True,True,False,False,False,True,False,0,0,0,diagonal,symmetric,inventory_only_pending,zero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
01,0,1,N,pure,01|10,N|N,False,False,False,0,1,1,1,0,1,1,0,01,True,False,False,False,False,True,True,4,2,1,off_diagonal,symmetric,inventory_only_pending,zero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
02,0,2,R,pure,02|20,R|R,False,False,False,0,2,2,2,0,2,2,0,00,True,False,False,False,False,True,False,3,1,2,off_diagonal,symmetric,inventory_only_pending,zero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
03,0,3,V,pure,03|30,V|V,False,False,False,0,3,3,3,0,0,3,0,01,True,False,False,False,False,True,False,3,2,3,off_diagonal,symmetric,inventory_only_pending,zero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
04,0,4,F,pure,04|40,F|F,False,False,False,0,4,4,4,0,1,4,0,00,True,False,False,False,False,True,False,4,3,4,off_diagonal,symmetric,inventory_only_pending,zero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
05,0,5,T,pure,05|50,T|T,False,False,False,0,5,5,5,0,2,0,0,01,True,False,False,False,False,True,False,3,2,5,contains_central_digit,symmetric,inventory_only_pending,zero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
06,0,6,I,pure,06|60,I|I,False,False,False,0,6,6,6,0,0,1,0,00,True,False,False,True,False,True,False,2,3,4,off_diagonal,symmetric,inventory_only_pending,zero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
07,0,7,I,pure,07|70,I|I,False,False,False,0,7,7,7,0,1,2,0,01,True,False,False,False,False,True,False,3,4,3,off_diagonal,symmetric,inventory_only_pending,zero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
08,0,8,I,pure,08|80,I|I,False,False,False,0,8,8,8,0,2,3,0,00,True,False,False,False,False,True,False,1,3,2,off_diagonal,symmetric,inventory_only_pending,zero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
09,0,9,T,pure,09|90,T|T,False,False,False,0,9,9,9,0,0,4,0,01,True,True,False,False,True,True,False,2,4,1,off_diagonal,symmetric,inventory_only_pending,zero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
11,1,1,E,pure,11,E,True,False,False,1,1,2,0,1,2,2,1,11,False,False,False,False,False,False,True,0,0,0,diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
12,1,2,F,pure,12|21,F|F,False,False,False,1,2,3,1,2,0,3,2,10,False,False,False,False,False,False,True,5,1,1,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
13,1,3,N,pure,13|31,N|N,False,False,False,1,3,4,2,3,1,4,3,11,False,False,False,False,False,False,True,3,2,2,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
14,1,4,A,pure,14|41,A|A,False,False,False,1,4,5,3,4,2,0,4,10,False,False,False,False,False,False,True,2,1,3,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
15,1,5,E,pure,15|51,E|E,False,False,False,1,5,6,4,5,0,1,0,11,False,False,False,False,False,False,True,5,2,4,contains_central_digit,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
16,1,6,T,pure,16|61,T|T,False,False,False,1,6,7,5,6,1,2,1,10,False,False,False,True,False,False,True,6,3,5,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
17,1,7,V,pure,17|71,V|V,False,False,False,1,7,8,6,7,2,3,2,11,False,False,False,False,False,False,True,1,2,4,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
18,1,8,I,pure,18|81,I|I,False,False,False,1,8,9,7,8,0,4,3,10,False,False,False,False,False,False,True,5,3,3,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
19,1,9,I/N,conflict,19|91,I|N,False,True,False,1,9,10,8,9,1,0,4,11,True,False,False,False,True,False,True,4,4,2,off_diagonal,conflict,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
22,2,2,A,pure,22,A,True,False,False,2,2,4,0,4,1,4,4,00,False,False,False,False,False,False,False,0,0,0,diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
23,2,3,O,pure,23|32,O|O,False,False,False,2,3,5,1,6,2,0,1,01,False,False,False,False,False,False,False,2,1,1,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
24,2,4,L,pure,24|42,L|L,False,False,False,2,4,6,2,8,0,1,3,00,False,False,False,False,False,False,False,5,2,2,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
25,2,5,I,pure,25|52,I|I,False,False,False,2,5,7,3,10,1,2,0,01,False,False,False,False,False,False,False,4,1,3,contains_central_digit,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
26,2,6,N,pure,26|62,N|N,False,False,False,2,6,8,4,12,2,3,2,00,False,False,False,True,False,False,False,3,2,4,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
27,2,7,S,pure,27|72,S|S,False,False,False,2,7,9,5,14,0,4,4,01,False,False,False,False,False,False,False,4,3,5,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
28,2,8,T,pure,28|82,T|T,False,False,False,2,8,10,6,16,1,0,1,00,False,False,False,False,False,False,False,2,2,4,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
29,2,9,N,pure,29|92,N|N,False,False,False,2,9,11,7,18,2,1,3,01,True,False,False,False,True,False,False,3,3,3,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
33,3,3,E,pure,33,E,True,False,False,3,3,6,0,9,0,1,4,11,False,False,False,False,False,False,False,0,0,0,diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
34,3,4,B,pure,34|43,B|B,False,False,False,3,4,7,1,12,1,2,2,10,False,False,False,False,False,False,False,3,3,1,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
35,3,5,L,pure,35|53,L|L,False,False,False,3,5,8,2,15,2,3,0,11,False,False,False,False,False,False,False,2,2,2,contains_central_digit,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
36,3,6,V,pure,36|63,V|V,False,False,False,3,6,9,3,18,0,4,3,10,False,False,False,True,False,False,False,3,1,3,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
37,3,7,A,pure,37|73,A|A,False,False,False,3,7,10,4,21,1,0,1,11,False,False,False,False,False,False,False,2,4,4,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
38,3,8,T,pure,38|83,T|T,False,False,False,3,8,11,5,24,2,1,4,10,False,False,False,False,False,False,False,2,3,5,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
39,3,9,N,reverse_missing,93,N,False,False,True,3,9,12,6,27,0,2,2,11,True,False,False,False,True,False,False,1,2,4,off_diagonal,missing_reverse,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
44,4,4,E,pure,44,E,True,False,False,4,4,8,0,16,2,3,1,00,False,False,False,False,False,False,False,0,0,0,diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
45,4,5,F,pure,45|54,F|F,False,False,False,4,5,9,1,20,0,4,0,01,False,False,False,False,False,False,False,3,1,1,contains_central_digit,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
46,4,6,N,pure,46|64,N|N,False,False,False,4,6,10,2,24,1,0,4,00,False,False,False,True,False,False,False,4,2,2,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
47,4,7,E,pure,47|74,E|E,False,False,False,4,7,11,3,28,2,1,3,01,False,False,False,False,False,False,False,3,1,3,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
48,4,8,E,pure,48|84,E|E,False,False,False,4,8,12,4,32,0,2,2,00,False,False,False,False,False,False,False,3,2,4,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
49,4,9,N,pure,49|94,N|N,False,False,False,4,9,13,5,36,1,3,1,01,True,False,False,False,True,False,False,2,3,5,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
55,5,5,V,pure,55,V,True,False,False,5,5,10,0,25,1,0,0,11,False,False,True,False,False,False,False,0,0,0,diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
56,5,6,I,pure,56|65,I|I,False,False,False,5,6,11,1,30,2,1,0,10,False,False,True,True,False,False,False,1,1,1,contains_central_digit,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
57,5,7,E,pure,57|75,E|E,False,False,False,5,7,12,2,35,0,2,0,11,False,False,True,False,False,False,False,4,2,2,contains_central_digit,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
58,5,8,E,pure,58|85,E|E,False,False,False,5,8,13,3,40,1,3,0,10,False,False,True,False,False,False,False,2,1,3,contains_central_digit,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
59,5,9,I,pure,59|95,I|I,False,False,False,5,9,14,4,45,2,4,0,11,True,False,True,False,True,False,False,1,2,4,contains_central_digit,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
66,6,6,E,pure,66,E,True,False,False,6,6,12,0,36,0,2,1,00,False,False,True,True,False,False,False,0,0,0,diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
67,6,7,A,pure,67|76,A|A,False,False,False,6,7,13,1,42,1,3,2,01,False,False,True,True,False,False,False,5,3,1,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
68,6,8,C,pure,68|86,C|C,False,False,False,6,8,14,2,48,2,4,3,00,False,False,True,True,False,False,False,1,2,2,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
69,6,9,V,pure,69|96,V|V,False,False,False,6,9,15,3,54,0,0,4,01,True,False,True,True,True,False,False,2,1,3,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
77,7,7,N,pure,77,N,True,False,False,7,7,14,0,49,2,4,4,11,False,False,True,False,False,False,False,0,0,0,diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
78,7,8,E,pure,78|87,E|E,False,False,False,7,8,15,1,56,0,0,1,10,False,False,True,False,False,False,False,4,1,1,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
79,7,9,A,pure,79|97,A|A,False,False,False,7,9,16,2,63,1,1,3,11,True,False,True,False,True,False,False,3,2,2,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
88,8,8,A,pure,88,A,True,False,False,8,8,16,0,64,1,1,4,00,False,False,True,False,False,False,False,0,0,0,diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
89,8,9,T,pure,89|98,T|T,False,False,False,8,9,17,1,72,2,2,2,01,True,False,True,False,True,False,False,1,1,1,off_diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
99,9,9,E,pure,99,E,True,False,False,9,9,18,0,81,0,3,1,11,True,True,True,False,True,False,False,0,0,0,diagonal,symmetric,inventory_only_pending,nonzero_pair,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference,external_audit_reference
