Book Line,Mean,Median,Mode,Count,Min,Max,Standard Deviation,Distinct Numbers,Missing Numbers
"Book 1, Line 1",4.3,4.0,1,144,0,9,2.93,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 2",4.28,4.0,4,92,0,9,2.67,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 3",4.66,5,1,177,0,9,2.94,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 4",4.51,5.0,"1,6",140,0,9,2.93,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 5",4.51,5.0,"1,6",140,0,9,2.93,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 6",4.44,5,1,273,0,9,2.8,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 7",4.2,4,1,175,0,9,2.75,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 8",4.57,5.0,"1,5",106,0,9,2.74,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 9",4.29,4,1,155,0,9,2.75,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 10",4.42,5.0,1,294,0,9,2.78,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 11",4.3,4,1,281,0,9,2.86,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 12",4.29,4,1,137,0,9,2.76,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 13",4.72,5,1,137,0,9,2.9,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 14",4.72,5,5,141,0,9,2.83,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 15",4.05,4,1,133,0,9,2.77,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 16",4.35,4,1,143,0,9,2.97,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 17",4.14,4.0,1,174,0,9,2.83,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 18",4.33,4.0,1,274,0,9,2.93,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 19",4.51,5,1,93,0,9,2.97,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 20",4.26,4,1,129,0,9,2.85,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 21",4.43,4,"1,4,5,8",63,0,9,2.86,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 22",4.61,5.0,1,176,0,9,2.87,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 23",4.71,5,1,137,0,9,2.86,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 24",4.66,5,1,177,0,9,2.94,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 25",4.35,5,1,119,0,9,2.82,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 26",4.43,4,1,35,0,9,3.26,"0,1,2,3,4,5,7,8,9",6
"Book 1, Line 27",4.55,5.0,1,170,0,9,2.87,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 28",4.42,4.5,1,124,0,9,2.79,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 29",4.48,5.0,1,146,0,9,2.79,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 30",4.53,5,4,151,0,9,2.91,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 31",4.67,5.0,1,150,0,9,2.88,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 32",4.42,4.5,1,248,0,9,2.79,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 33",4.24,4,5,137,0,9,2.7,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 34",4.29,4.0,1,134,0,9,2.97,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 35",4.18,4,1,123,0,9,2.87,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 36",4.28,4.0,1,286,0,9,2.87,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 37",4.29,4,1,137,0,9,2.76,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 38",4.09,4.0,1,160,0,9,2.81,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 39",4.65,5.0,5,134,0,9,2.68,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 40",4.66,4,1,59,0,9,2.95,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 41",4.59,5,"4,5",145,0,9,2.88,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 42",4.18,4.0,1,168,0,9,2.83,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 43",4.34,4.5,"1,5",136,0,9,2.59,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 44",4.69,5,1,187,0,9,3.01,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 45",4.28,4,"1,4",141,0,9,2.7,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 46",4.61,5.0,6,126,0,9,2.93,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 47",4.04,4,1,149,0,9,2.93,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 48",4.45,5,1,253,0,9,2.89,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 49",4.33,4.0,"1,5",126,0,9,2.72,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 50",4.46,5,1,169,0,9,2.81,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 51",4.19,4,5,115,0,9,2.54,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 52",4.18,4,1,141,0,9,2.72,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 53",4.46,5.0,1,268,0,9,2.88,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 54",4.57,5,1,137,0,9,2.99,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 55",4.54,5,"1,5",271,0,9,2.88,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 56",4.37,5,"1,5",57,0,9,2.86,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 57",4.1,4.0,1,116,0,9,2.97,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 58",4.74,5.0,"1,5",266,0,9,2.79,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 59",4.44,5.0,1,230,0,9,2.81,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 60",4.31,4.0,1,272,0,9,2.78,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 61",4.31,4.0,1,272,0,9,2.78,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 62",4.28,4,1,151,0,9,2.9,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 63",4.59,5,"4,5",145,0,9,2.88,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 64",4.58,5.0,5,126,0,9,2.93,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 65",4.07,4.0,1,126,0,9,2.75,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 66",4.28,4,1,151,0,9,2.9,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 67",4.51,5,4,169,0,9,2.83,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 68",4.22,4.0,1,210,0,9,2.81,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 69",4.72,5.0,8,98,0,9,3.02,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 70",4.36,5,1,143,0,9,2.92,"0,1,2,3,4,5,6,7,8,9",
"Book 1, Line 71",4.14,4.0,1,140,0,9,2.66,"0,1,2,3,4,5,6,7,8,9",
"Book 2, Line 1",4.71,5,1,137,0,9,2.86,"0,1,2,3,4,5,6,7,8,9",
"Book 3, Line 1",4.71,5,1,137,0,9,2.86,"0,1,2,3,4,5,6,7,8,9",
